time/iterations,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/clip_range,train/n_updates,train/entropy_loss,train/clip_fraction,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/loss,train/explained_variance,train/std
30,796.6233766233767,87,-3009.8342531298704,61440,702,0.2,290,-1.9048710279166698,0.04169921875,1796.7011396408082,0.0047827438,-0.003573555864568334,0.0003,1231.2930908203125,-0.0369110107421875,0.6296103000640869
31,801.7721518987341,90,-2971.349251835443,63488,700,0.2,300,-1.9123780280351639,0.0216796875,5835.100342178344,0.0034488472,-0.0031524638630799017,0.0003,1689.161865234375,0.1622457504272461,0.6298551559448242
32,806.6666666666666,93,-2932.1917376790125,65536,697,0.2,310,-1.9131399720907212,0.094091796875,281.5586240053177,0.0064273253,-0.006673389193747425,0.0003,126.8293228149414,0.006771504878997803,0.6303157210350037
33,803.1904761904761,97,-2868.0302129880956,67584,696,0.2,320,-1.9076626498252154,0.06513671875,206.31064548492432,0.0076572695,-0.0031919067783746868,0.0003,89.61528015136719,0.1490994095802307,0.6281965970993042
34,807.7674418604652,100,-2835.11213255814,69632,694,0.2,330,-1.8889807023108005,0.098974609375,344.0774117231369,0.009836193,-0.00717196745245019,0.0003,190.2841796875,0.21478313207626343,0.6174188852310181
35,812.1363636363636,103,-2797.1274219090915,71680,691,0.2,340,-1.872635567933321,0.087158203125,258.2324704408646,0.0068243113,-0.005552948600961827,0.0003,183.17367553710938,0.1094815731048584,0.6181447505950928
36,816.3111111111111,106,-2756.123490333334,73728,690,0.2,350,-1.8728211142122746,0.113525390625,87.36658796072007,0.009375715,-0.007354747901263181,0.0003,18.737857818603516,0.09854042530059814,0.616202712059021
37,820.304347826087,110,-2772.4988799673915,75776,687,0.2,360,-1.8509724814444781,0.128564453125,59.343609005212784,0.013290696,-0.005615407593722921,0.0003,16.21613883972168,0.13576573133468628,0.6070393919944763
38,824.1276595744681,113,-2738.1182748297874,77824,685,0.2,370,-1.8364432584494352,0.066650390625,3000.879606628418,0.0046816766,-5.483554414240643e-05,0.0003,1686.1494140625,0.4082227945327759,0.606753945350647
39,827.7916666666666,116,-2700.758712916667,79872,684,0.2,380,-1.810441092774272,0.098779296875,83.99772075414657,0.00860671,-0.005124763818457723,0.0003,43.7227783203125,0.005377829074859619,0.5928248167037964
40,831.3061224489796,120,-2664.82403172449,81920,682,0.2,390,-1.7762468054890632,0.122021484375,82.4455864906311,0.012851717,-0.00415912769822171,0.0003,28.29195785522461,0.08330214023590088,0.5848406553268433
41,834.68,123,-2627.26448547,83968,679,0.2,400,-1.742288178578019,0.127978515625,51.619081032276156,0.009361402,0.0018954247760120779,0.0003,19.187618255615234,0.14153605699539185,0.57353675365448
42,839.74,126,-2504.86310864,86016,678,0.2,410,-1.7066300813108684,0.1072265625,46.67759267687798,0.010773094,-0.0008305319017381408,0.0003,19.729948043823242,0.0388370156288147,0.5619725584983826
43,839.74,130,-2312.6306020300003,88064,677,0.2,420,-1.6686257675290108,0.14072265625,40.20194026827812,0.013125843,-0.006494710342667531,0.0003,15.218572616577148,0.11218822002410889,0.5547908544540405
44,848.08,133,-2238.49540837,90112,675,0.2,430,-1.6640724647790193,0.108203125,35.4663387298584,0.011573277,-0.002138071143417619,0.0003,11.475271224975586,0.15596449375152588,0.5576728582382202
45,848.08,136,-2064.2160096,92160,674,0.2,440,-1.6430546924471856,0.110986328125,36.10617293715477,0.009225728,-0.0034042348052025773,0.0003,18.90912628173828,0.19356447458267212,0.544536828994751
46,848.08,139,-1941.75877292,94208,673,0.2,450,-1.596979671344161,0.109423828125,26.968140313029288,0.0071107903,-5.6653618230484426e-05,0.0003,17.350658416748047,0.1609557867050171,0.5328562259674072
47,848.08,143,-1833.3677857900004,96256,672,0.2,460,-1.5723008818924427,0.085498046875,36.98282910585404,0.0067325267,-0.003811390374903567,0.0003,16.8067569732666,0.13769131898880005,0.5304204225540161
48,855.44,146,-1846.05297884,98304,671,0.2,470,-1.5590803246945142,0.099365234375,49.80706306695938,0.009282321,-0.002520796444878215,0.0003,18.335084915161133,0.10775882005691528,0.5252724289894104
49,855.44,149,-1781.2463103599998,100352,669,0.2,480,-1.5476054180413485,0.01630859375,1140.8589122772216,0.0027999948,-0.0009498218685621395,0.0003,260.1549377441406,0.6348108649253845,0.524608850479126
50,857.58,153,-1761.7653340499996,102400,668,0.2,490,-1.545947578549385,0.023291015625,2699.47410697937,0.002798311,-0.002975699046510272,0.0003,681.8423461914062,0.789013147354126,0.5245403051376343
51,859.49,156,-1706.35061043,104448,667,0.2,500,-1.545973224937916,0.08037109375,376.02429822683337,0.0063425996,-9.350590116810053e-05,0.0003,169.55929565429688,0.8175551891326904,0.5249732732772827
52,854.72,159,-1648.5198480999998,106496,665,0.2,510,-1.532895539328456,0.10263671875,55.782552218437196,0.009143242,0.0014010307837452273,0.0003,45.11162185668945,0.02689439058303833,0.5184311270713806
53,854.72,163,-1604.4456765999996,108544,665,0.2,520,-1.5202261708676814,0.082470703125,222.18617131710053,0.006951767,-0.005896816551103257,0.0003,131.9748992919922,0.25102365016937256,0.5176969170570374
54,855.21,166,-1548.0959836799998,110592,664,0.2,530,-1.494560096040368,0.14130859375,29.874768441915514,0.009546652,0.001998232955520507,0.0003,15.398043632507324,0.16322416067123413,0.5059629082679749
55,863.26,169,-1507.3868220399997,112640,664,0.2,540,-1.4683943424373864,0.093359375,95.56421284675598,0.00751557,-0.003479416109621525,0.0003,32.636573791503906,0.5942051410675049,0.5037562251091003
56,863.26,171,-1457.4560326499998,114688,669,0.2,550,-1.446057666093111,0.16513671875,22.328461465239524,0.020878255,-0.006359043242991902,0.0003,8.813437461853027,0.2519245147705078,0.49591803550720215
57,864.46,174,-1470.34233265,116736,670,0.2,560,-1.401678728684783,0.126611328125,26.25422042608261,0.012365122,-0.0015753833780763672,0.0003,18.845426559448242,0.15718048810958862,0.48186245560646057
58,864.46,177,-1423.0315279399997,118784,669,0.2,570,-1.375512483343482,0.036962890625,3309.631508636475,0.0034115687,-0.0007032630761386827,0.0003,1373.0751953125,0.8193629384040833,0.4817730188369751
59,868.55,180,-1373.30815603,120832,669,0.2,580,-1.350769641250372,0.131396484375,32.51297699511051,0.012157366,-0.0006158566291560418,0.0003,24.270097732543945,0.08468490839004517,0.4706162214279175
60,885.88,183,-1373.66825393,122880,668,0.2,590,-1.31620187535882,0.106298828125,71.34089365005494,0.009020584,-0.004652059613727033,0.0003,38.70676040649414,0.0414738655090332,0.46553006768226624
61,892.33,187,-1356.5159698,124928,667,0.2,600,-1.2908203810453416,0.126611328125,37.593079724907874,0.017925244,-0.000212908456887817,0.0003,7.819030284881592,0.30784088373184204,0.4592300057411194
62,894.73,190,-1324.7549848,126976,667,0.2,610,-1.2637317232787608,0.154345703125,44.56644133925438,0.015160227,-0.0061675180972088125,0.0003,19.266578674316406,0.22636938095092773,0.45361560583114624
63,894.73,193,-1272.5170231700001,129024,666,0.2,620,-1.251944537088275,0.05234375,950.7332292556763,0.0036022607,-0.0009202681474562268,0.0003,608.6622314453125,0.8288881778717041,0.4518132209777832
64,903.1,196,-1248.08380148,131072,665,0.2,630,-1.2337610006332398,0.10693359375,57.83444229364395,0.011206044,0.001923024056304712,0.0003,26.08441925048828,0.0636143684387207,0.4469316005706787
65,910.38,199,-1218.1944945,133120,665,0.2,640,-1.2048072326928376,0.166943359375,38.96064596772194,0.015438624,0.0002178848153562285,0.0003,23.964508056640625,0.13217198848724365,0.43893200159072876
66,923.49,201,-1191.97175422,135168,669,0.2,650,-1.1793547201901675,0.146142578125,32.53698498606682,0.019124348,0.0012917410916998052,0.0003,16.588172912597656,0.1718088984489441,0.4356914758682251
67,940.58,204,-1195.8702721799998,137216,671,0.2,660,-1.1620563112199307,0.199560546875,14.422903107106686,0.014046628,-0.0001660772060859017,0.0003,8.011972427368164,0.2239217758178711,0.43046632409095764
68,948.34,207,-1215.8807582399998,139264,670,0.2,670,-1.1522897325456143,0.10888671875,197.70377274155618,0.006941081,-0.003265408318839036,0.0003,185.0032196044922,0.8929445743560791,0.43191713094711304
69,957.27,211,-1190.50546148,141312,668,0.2,680,-1.1572871293872595,0.035205078125,401.80145092010497,0.005038323,-0.0011590412555960937,0.0003,94.7363052368164,0.9547528624534607,0.43268510699272156
70,957.28,214,-1148.2905198199999,143360,667,0.2,690,-1.1454711474478245,0.160986328125,26.17244158387184,0.015153632,-0.0004851156882068608,0.0003,16.04877281188965,0.09195894002914429,0.42688363790512085
71,964.95,218,-1125.6472179999998,145408,666,0.2,700,-1.1261360820382833,0.146240234375,31.543095290660858,0.010021081,-0.0015138396112888586,0.0003,13.9556303024292,0.15523558855056763,0.42485547065734863
72,970.06,221,-1103.2004597399998,147456,665,0.2,710,-1.1168179336935282,0.125439453125,33.54531967639923,0.013575368,0.0006894741221913136,0.0003,13.415298461914062,0.2201889157295227,0.4232748746871948
73,970.06,224,-1070.3102367699998,149504,664,0.2,720,-1.110503613576293,0.121533203125,39.38695240020752,0.012314592,-0.0001621068746317178,0.0003,16.806406021118164,0.10615390539169312,0.4219008982181549
74,970.06,228,-1047.8366930599998,151552,664,0.2,730,-1.0972029257565736,0.150830078125,18.06726506650448,0.013274001,0.0036875261896057053,0.0003,9.437830924987793,0.06068384647369385,0.41787803173065186
75,972.74,231,-1078.5479371299998,153600,663,0.2,740,-1.0932182092219591,0.105419921875,76.1165513753891,0.012660008,-0.003924351907335222,0.0003,37.795494079589844,0.26612740755081177,0.4194294214248657
76,980.34,234,-1075.1647169999999,155648,662,0.2,750,-1.095299731194973,0.053759765625,1645.4035878658294,0.0058526807,-0.0040328906456124965,0.0003,133.85986328125,-0.07611346244812012,0.419558048248291
77,980.34,238,-1041.3798304900001,157696,661,0.2,760,-1.0875872392207384,0.142431640625,91.1426703095436,0.013187351,0.0009162809423287399,0.0003,33.938350677490234,-0.34364891052246094,0.4161561131477356
78,984.57,241,-995.6650315999999,159744,660,0.2,770,-1.0827136978507041,0.07880859375,109.36195795536041,0.008708993,-0.0001795455231331289,0.0003,60.60481643676758,0.05428946018218994,0.4162721633911133
79,984.57,245,-980.42250364,161792,660,0.2,780,-1.0920153763145208,0.128271484375,121.24333870410919,0.014690633,-0.000533263268880546,0.0003,63.51681900024414,-0.015184998512268066,0.42063331604003906
80,984.57,247,-957.6206244599999,163840,662,0.2,790,-1.0808089651167392,0.137646484375,76.12004988193512,0.010646032,0.0007608701096614822,0.0003,40.105308532714844,-0.03441357612609863,0.4128013253211975
81,993.29,250,-955.5961214099998,165888,661,0.2,800,-1.0754316721111536,0.1736328125,40.90919029712677,0.01565139,0.0028365648453473114,0.0003,18.757953643798828,0.005386948585510254,0.41857579350471497
82,993.29,253,-944.4794868599998,167936,661,0.2,810,-1.082648292183876,0.084375,122.5848646402359,0.006529314,-0.0018523471146181692,0.0003,54.367618560791016,0.030917048454284668,0.4160684049129486
83,993.29,257,-930.59727313,169984,660,0.2,820,-1.0801309432834387,0.0787109375,123.04849934577942,0.006087044,-0.0045565902371890845,0.0003,92.59403228759766,0.11535757780075073,0.4172632694244385
84,993.29,260,-946.16025411,172032,660,0.2,830,-1.0816444963216783,0.089794921875,107.33129200935363,0.008917025,-0.0037838855831068942,0.0003,50.231475830078125,0.04852581024169922,0.4161783456802368
85,993.29,263,-934.81711933,174080,659,0.2,840,-1.0794547099620104,0.040283203125,1275.503231906891,0.0040019713,-0.0010371346230385824,0.0003,520.118408203125,0.7429598569869995,0.41694313287734985
86,993.29,267,-876.9147223000001,176128,658,0.2,850,-1.072132370620966,0.1822265625,44.75536145567894,0.011891973,-7.131806487450376e-05,0.0003,22.72221565246582,-0.09756958484649658,0.41363275051116943
87,993.29,270,-860.04486554,178176,658,0.2,860,-1.0565458234399556,0.135595703125,70.61301656961442,0.012272051,-0.0017322933184914292,0.0003,25.40019416809082,0.13403606414794922,0.41056662797927856
88,993.29,274,-851.3090658000001,180224,657,0.2,870,-1.0480232078582048,0.147802734375,51.124628621339795,0.010542739,-0.0020867109546088614,0.0003,21.624906539916992,0.11426204442977905,0.4101906418800354
89,993.29,277,-841.4040947000001,182272,656,0.2,880,-1.0524378694593906,0.156884765625,47.235720723867416,0.016666513,0.0025949439106625503,0.0003,21.513973236083984,-0.04447770118713379,0.41151419281959534
90,993.29,281,-830.7793723,184320,655,0.2,890,-1.0512425191700459,0.17900390625,27.82280116081238,0.0076774755,0.003058754356607096,0.0003,15.313135147094727,0.14119935035705566,0.4101320803165436
91,993.29,284,-826.7031975199998,186368,655,0.2,900,-1.0385084077715874,0.125927734375,29.482718110084534,0.0107365465,-0.0022481229025288485,0.0003,10.68516731262207,0.09839081764221191,0.4074466824531555
92,993.29,287,-826.4395298199998,188416,654,0.2,910,-1.0213320173323155,0.0904296875,57.582953131198884,0.0064803837,-0.0017679702141322196,0.0003,27.585060119628906,0.061712026596069336,0.4036039710044861
93,993.29,291,-825.7031599400002,190464,653,0.2,920,-1.022016129270196,0.114453125,47.76257405281067,0.007990551,-0.00012243465607753024,0.0003,21.907386779785156,0.16389203071594238,0.40814897418022156
94,993.29,294,-817.5626059300001,192512,653,0.2,930,-1.0354013487696647,0.081005859375,59.254152584075925,0.008621454,-0.0030726708653673997,0.0003,29.367761611938477,0.05573403835296631,0.4083690047264099
95,993.29,298,-812.70708987,194560,652,0.2,940,-1.0314573638141156,0.13076171875,18.262197202444078,0.00908656,-0.001872389952040976,0.0003,6.792703151702881,0.0719786286354065,0.40663424134254456
96,993.29,301,-803.6065939400002,196608,651,0.2,950,-1.0284467943012714,0.0943359375,46.799494969844815,0.009554008,-0.0021876513928873464,0.0003,21.043119430541992,0.15781652927398682,0.40798091888427734
97,993.29,304,-738.5175877399998,198656,651,0.2,960,-1.0355525940656662,0.098681640625,65.58869099617004,0.009958085,-0.002957665354915662,0.0003,12.720970153808594,0.34713685512542725,0.4092300534248352
98,993.29,308,-672.1063577199998,200704,651,0.2,970,-1.0304035410284995,0.13310546875,28.356111255288123,0.011582056,0.0006490697283879854,0.0003,7.8974690437316895,0.1751423478126526,0.40878069400787354
99,993.29,311,-667.9122672999999,202752,650,0.2,980,-1.0237331729382277,0.11669921875,91.40631396770478,0.009640192,-0.004092543143633521,0.0003,9.138164520263672,0.5391969084739685,0.40526384115219116
100,993.29,314,-648.6502071399999,204800,650,0.2,990,-1.0030400751158595,0.1650390625,26.95364684164524,0.013994247,0.0015172879982856102,0.0003,12.87710952758789,0.018696069717407227,0.40159866213798523
101,1000.0,318,-643.2502098699999,206848,650,0.2,1000,-0.983647839538753,0.12119140625,44.404732590913774,0.009550687,-0.006164620806521271,0.0003,22.136795043945312,0.23712873458862305,0.3977663516998291
102,1000.0,321,-633.65447371,208896,649,0.2,1010,-0.9679277947172522,0.1251953125,38.73737424314022,0.01409621,-0.0018386313051450998,0.0003,26.883167266845703,0.4614211916923523,0.3958955705165863
103,1000.0,324,-621.4500827100001,210944,649,0.2,1020,-0.9581143876537681,0.175830078125,15.641112932562828,0.013524665,-0.0033651154255494474,0.0003,7.739675521850586,0.22310608625411987,0.3936099410057068
104,1000.0,328,-615.10546372,212992,648,0.2,1030,-0.947675452567637,0.1810546875,20.929138065874575,0.015751792,-0.0035781943413894625,0.0003,7.802955627441406,0.2625192403793335,0.39219239354133606
105,1000.0,331,-610.78568547,215040,648,0.2,1040,-0.9348680891096592,0.14951171875,17.651133161783218,0.014623629,0.00026497238141018895,0.0003,9.212004661560059,0.20487242937088013,0.3894405961036682
106,1000.0,335,-564.7836345,217088,647,0.2,1050,-0.9296254120767117,0.08271484375,68.05250214338302,0.010446481,-0.0028459414068493063,0.0003,35.067474365234375,0.46562379598617554,0.38866323232650757
107,1000.0,338,-557.54582681,219136,647,0.2,1060,-0.9310694025829435,0.059521484375,248.26011188030242,0.0073415665,-0.004358658666023985,0.0003,87.44564819335938,0.7101477980613708,0.39046216011047363
108,1000.0,342,-643.05010105,221184,646,0.2,1070,-0.9368097890168429,0.019677734375,1834.9536529541015,0.002525472,0.000538286060327664,0.0003,282.0002746582031,0.6167064905166626,0.3903714418411255
109,1000.0,345,-639.60648439,223232,646,0.2,1080,-0.9365183394402266,0.041845703125,4961.735771179199,0.0044366815,-0.0038671908812830226,0.0003,1965.44921875,0.7665769457817078,0.390988826751709
110,1000.0,348,-634.4581392399999,225280,645,0.2,1090,-0.9346898287534714,0.13232421875,78.36460244059563,0.011143379,-0.003160744953493122,0.0003,26.511188507080078,0.5560708045959473,0.38961660861968994
111,1000.0,352,-620.7652155899999,227328,645,0.2,1100,-0.9286731747910381,0.2197265625,23.35983249247074,0.014331613,0.0072664351260755215,0.0003,10.631342887878418,-0.000498652458190918,0.38750216364860535
112,1000.0,355,-619.28158501,229376,644,0.2,1110,-0.9242391059175133,0.071826171875,87.82045403122902,0.0049344148,-0.004049526649032487,0.0003,27.443862915039062,0.7841767072677612,0.38918644189834595
113,1000.0,359,-616.2743500699999,231424,644,0.2,1120,-0.9129093812778593,0.088671875,48.390062326192854,0.007088908,-0.004462962430989137,0.0003,17.83469009399414,0.4991697072982788,0.3824103772640228
114,1000.0,362,-628.7889649099999,233472,643,0.2,1130,-0.8940786050632596,0.12099609375,119.54319318532944,0.013224674,-0.005604478788154665,0.0003,26.85927391052246,0.7989907264709473,0.38204866647720337
115,1000.0,366,-629.3789024,235520,642,0.2,1140,-0.8974878091365099,0.058447265625,167.1288990855217,0.0052075787,-0.0022773467033402996,0.0003,86.5232925415039,0.7236288785934448,0.3840535283088684
116,1000.0,370,-626.31267793,237568,642,0.2,1150,-0.8948108430951833,0.135693359375,112.04657770991325,0.010837485,-0.002387075718434062,0.0003,39.47151184082031,0.38052481412887573,0.38045716285705566
117,1000.0,373,-578.89434584,239616,641,0.2,1160,-0.8950391031801701,0.165576171875,43.93758771419525,0.014484301,0.003972267582139466,0.0003,22.767189025878906,0.22107237577438354,0.3835463225841522
118,1000.0,376,-578.6377999599999,241664,641,0.2,1170,-0.9152764439582824,0.174658203125,38.32099571824074,0.020271458,0.0008435382813331671,0.0003,25.311384201049805,0.3364139795303345,0.38971471786499023
119,1000.0,380,-572.3938853199999,243712,640,0.2,1180,-0.9308465162292123,0.1626953125,67.28471471071244,0.011993088,-0.0028616610892640893,0.0003,30.386817932128906,0.34877902269363403,0.38913244009017944
120,1000.0,383,-575.37409785,245760,640,0.2,1190,-0.9179199073463679,0.152490234375,33.548255702853204,0.012892326,-0.0017989235624554568,0.0003,12.745140075683594,0.5349303483963013,0.3851664066314697
121,1000.0,387,-572.00628176,247808,639,0.2,1200,-0.9115639485418796,0.1396484375,58.990258055925366,0.011540851,-0.0012236820999532937,0.0003,22.142148971557617,0.04506796598434448,0.38523608446121216
122,1000.0,391,-642.7281863699999,249856,638,0.2,1210,-0.9212233863770962,0.1693359375,40.186156237125395,0.012628324,-0.0039239544174051845,0.0003,18.097366333007812,0.16782057285308838,0.38724571466445923
123,1000.0,394,-633.8592126499999,251904,638,0.2,1220,-0.9410924186930061,0.148876953125,331.5840279251337,0.0061828233,0.006007570246583782,0.0003,8.565146446228027,0.6440677642822266,0.39152687788009644
124,1000.0,398,-570.67039299,253952,637,0.2,1230,-0.9433562450110913,0.10673828125,88.47619081735611,0.009502932,-0.0026966614430421034,0.0003,16.2100887298584,0.3868101239204407,0.38911962509155273
125,1000.0,401,-558.4413785500001,256000,637,0.2,1240,-0.9096390319988131,0.229248046875,15.196365866065026,0.02200181,-0.0007309859225642868,0.0003,11.090044975280762,0.16637134552001953,0.379428505897522
126,1000.0,405,-539.5415972000001,258048,637,0.2,1250,-0.8890884568914771,0.150390625,31.300073564052582,0.009507442,0.0005899222800508141,0.0003,15.53476333618164,0.13375645875930786,0.3811113238334656
127,1000.0,408,-522.38206261,260096,636,0.2,1260,-0.8812614928930997,0.193310546875,13.374651914834976,0.018109474,-0.00023709117667749524,0.0003,6.952712535858154,0.11897706985473633,0.37670189142227173
128,1000.0,411,-506.7684219000001,262144,636,0.2,1270,-0.8726405849680304,0.1044921875,54.694785964488986,0.0086157955,-0.005724817162263207,0.0003,17.966638565063477,0.27589482069015503,0.3769214153289795
129,1000.0,415,-498.22114099000015,264192,636,0.2,1280,-0.8737590750679374,0.134130859375,23.915815585851668,0.009873235,-0.001088592637097463,0.0003,13.516369819641113,0.2560451030731201,0.37772512435913086
130,1000.0,418,-481.56671087,266240,635,0.2,1290,-0.8650188902392983,0.1494140625,22.93871298134327,0.01619032,-0.0006778539158403873,0.0003,10.318900108337402,0.0274583101272583,0.37401238083839417
131,1000.0,422,-464.21901435000007,268288,635,0.2,1300,-0.85072031468153,0.14921875,21.20041655153036,0.013081223,-0.004958440479094861,0.0003,13.65891170501709,0.350735604763031,0.3726532757282257
132,1000.0,425,-448.67834774999994,270336,634,0.2,1310,-0.8359583236277104,0.1732421875,11.694720546901227,0.013745298,-6.958831945667044e-05,0.0003,3.707275629043579,0.15794259309768677,0.37051063776016235
133,1000.0,429,-410.60443667,272384,634,0.2,1320,-0.8317259918898344,0.188134765625,9.544269919395447,0.01706652,-0.0014556649271980858,0.0003,5.21387243270874,0.20411574840545654,0.37018871307373047
